Lot_ID,Mine,Lot_station,Station_ID,Station_site,Station_waypoint,Station_latitude,Station_longitude,Station_waterbody,Site_province,Site_region,Site_locality,Site_narrative_loc,Site_name,Site_category,Site_waterbody,Site_comments,Metal,Resource,Number of Families,Families,Number of Beings,Beings
WRML24-B5-P2-SORT,Wesdome Gold Mines Ltd.,WRML24-B5,WRML24-B5,WR-ML,WR-ML-B5,48.10796,-85.39398,Miron Lake,Ontario,Thunder Bay,,Miron Lake,Miron Lake,Reference,Miron Lake,Wesdome reference site,"Copper, Silver",https://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI42C04NE00006.html,0,N/A,0,N/A
WRML24-B5-P3-SORT,Wesdome Gold Mines Ltd.,WRML24-B5,WRML24-B5,WR-ML,WR-ML-B5,48.10796,-85.39398,Miron Lake,Ontario,Thunder Bay,,Miron Lake,Miron Lake,Reference,Miron Lake,Wesdome reference site,"Copper, Silver",https://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI42C04NE00006.html,0,N/A,0,N/A
WRML24-B5-P4-SORT,Wesdome Gold Mines Ltd.,WRML24-B5,WRML24-B5,WR-ML,WR-ML-B5,48.10796,-85.39398,Miron Lake,Ontario,Thunder Bay,,Miron Lake,Miron Lake,Reference,Miron Lake,Wesdome reference site,"Copper, Silver",https://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI42C04NE00006.html,0,N/A,0,N/A
WRML24-B1-UNSORT,Wesdome Gold Mines Ltd.,WRML24-B1,WRML24-B1,WR-ML,WR-ML-B1,48.10726,-85.39294,Miron Lake,Ontario,Thunder Bay,,Miron Lake,Miron Lake,Reference,Miron Lake,Wesdome reference site,"Copper, Silver",https://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI42C04NE00006.html,0,N/A,0,N/A
WRML24-B2-UNSORT,Wesdome Gold Mines Ltd.,WRML24-B2,WRML24-B2,WR-ML,WR-ML-B2,48.10741,-85.39295,Miron Lake,Ontario,Thunder Bay,,Miron Lake,Miron Lake,Reference,Miron Lake,Wesdome reference site,"Copper, Silver",https://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI42C04NE00006.html,0,N/A,0,N/A
WRML24-B3-UNSORT,Wesdome Gold Mines Ltd.,WRML24-B3,WRML24-B3,WR-ML,WR-ML-B3,48.10752,-85.39327,Miron Lake,Ontario,Thunder Bay,,Miron Lake,Miron Lake,Reference,Miron Lake,Wesdome reference site,"Copper, Silver",https://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI42C04NE00006.html,0,N/A,0,N/A
WRML24-B4-UNSORT,Wesdome Gold Mines Ltd.,WRML24-B4,WRML24-B4,WR-ML,WR-ML-B4,,-85.39368,Miron Lake,Ontario,Thunder Bay,,Miron Lake,Miron Lake,Reference,Miron Lake,Wesdome reference site,"Copper, Silver",https://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI42C04NE00006.html,0,N/A,0,N/A
WRML24-B5-UNSORT,Wesdome Gold Mines Ltd.,WRML24-B5,WRML24-B5,WR-ML,WR-ML-B5,48.10796,-85.39398,Miron Lake,Ontario,Thunder Bay,,Miron Lake,Miron Lake,Reference,Miron Lake,Wesdome reference site,"Copper, Silver",https://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI42C04NE00006.html,0,N/A,0,N/A
WEMIC24-B1-UNSORT,Wesdome Gold Mines Ltd.,WEMIC24-B1,WEMIC24-B1,WE-MIC,WE-MIC-B1,48.11338,-85.40413,Miron Creek,Ontario,Algoma,"Wesdome, Miron Creek",Miron Creek,Miron Creek,Exposure,"Wesdome, Miron Creek Exposure Area","2021 Wesdome Phase 6 EEM, benthic collections with Petite Ponar",Gold,https://stockhouse.com/news/press-releases/2023/03/13/wesdome-announces-annual-mineral-resource-and-reserve-updates-for-eagle-river,0,N/A,0,N/A
WEMIC24-B2-UNSORT,Wesdome Gold Mines Ltd.,WEMIC24-B2,WEMIC24-B2,WE-MIC,WE-MIC-B2,48.1136,-85.40361,Miron Creek,Ontario,Algoma,"Wesdome, Miron Creek",Miron Creek,Miron Creek,Exposure,"Wesdome, Miron Creek Exposure Area","2021 Wesdome Phase 6 EEM, benthic collections with Petite Ponar",Gold,https://stockhouse.com/news/press-releases/2023/03/13/wesdome-announces-annual-mineral-resource-and-reserve-updates-for-eagle-river,0,N/A,0,N/A
